Colegio,Teléfono,Email,Codigo Postal,Provincia,Estado
CEIP LES ROTES,696072711,Davinia2santos@hotmail.com,3,ALTEA,ALICANTE
COLEGIO COOPERATIVA ANDRÉS DE VANDELVIRA,630356322,ainhoa.alvarez@vandelvira.es,23,JAÉN,ANDALUCÍA
CEIP PABLO RUIZ PICASSO,655528576,mariccardenas@gmail.com,29,MÁLAGA,ANDALUCÍA
CPR LUSOR,671203124,carmen-pr@hotmail.com,4,ALMERÍA,ANDALUCÍA
CEIP PINTOR FÉLIX REVELLO DE TORO,697951559,Franciscojavier.abelaira@ceiprevellodetoro.org,29,MÁLAGA,ANDALUCÍA
IES SANTIAGO RAMÓN Y CAJAL,658500260,elena.amador.moreno@gmail.com,0,MALAGA,ANDALUCÍA
CEI SNOOPY,618596397,eisnoopy@hotmail.com,0,MALAGA,ANDALUCÍA
CEIP JUAN CARRILLO,671566934,29007718.direccion.edu@juntadeandalucia.es,29,MÁLAGA,ANDALUCÍA
ESCUELA INFANTIL VIATOR,667887667,macruz@eikoala.es,0,VIATOR,ANDALUCÍA
CEIP VALERIANO LÓPEZ,615588035,29016173.edu@juntadeandalucia.es,0,ESTEPONA,ANDALUCIA
CEIP MIGUEL HERNÁNDEZ,951270551,29009533.edu@juntadeandalucia.es,29,MÁLAGA,ANDALUCIA
IES LEVANTE,617137583,isabelpozoayuso@gmail.com,11,CÁDIZ,ANDALUCIA
CEI LILLIPUT,620309640,mbelmonte1987@gmail.com,4,ALMERÍA,ANDALUCIA
ESCUELA INFANTIL MIRADOR DE LA VEGA,607376792,sofia.gonzalez@gmail.com,18,GRANADA,ANDALUCIA
5 CHUPETES,658938163,recepcionciudadjardin@5chupetes.com,29,MÁLAGA,ANDALUCÍA
ECUELA INFANTIL CUENTA CUENTOS,660756199,ctablado@eikoala.es,23,JAÉN,ANDALUCÍA
E.I. ZAPATA,671594053,29000396.edu@juntadeandalucia.es,29,MÁLAGA,ANDALUCÍA
CEI VIRGEN DEL CARMEN,686336270,soylakesoy@hotmail.com,4,ALMERÍA,ANDALUCÍA
ESCUELA INFANTIL CHUPETINES LA ARRUZAFA,689142361,chupetineseilaarruzafa@gmail.com,14,CÓRDOBA,ANDALUCÍA
C.E.I VOCALES,630638027,vocales@hotmail.es,29,MÁLAGA,ANDALUCÍA
CARMEN URBANO VILLEGAS,658615432,victoria_perdigon@hotmail.com,29,MÁLAGA,ANDALUCÍA
MONTESSORI COMMUNITY GRANADA,722663242,info@montessoricg.com,18,GRANADA,ANDALUCÍA
CEIP EL RETAMAL,697955411,18006406.edu@juntadeandalucia.es,18,GRANADA,ANDALUCÍA
CEI EL TRIÁNGULO,657310637,guarderiaeltriangulo@gmail.com,41,SEVILLA,ANDALUCÍA
C.E.I. EL NIDO,678856417,e.i.elnido@gmail.com,11,CÁDIZ,ANDALUCÍA
CEI SNOOPY I,617596397,eisnoopy@hotmail.com,29,MÁLAGA,ANDALUCÍA
CEIP NUESTRA SEÑORA DE LA ESTRELLA,637254776,jarillolopezc5@gmail.com,0,EL GARROBO,ANDALUCÍA
CEI PATITO AMARILLO,662947733,patitoamarillo@patitoamarillo.com,29,MÁLAGA,ANDALUCÍA
CEIP NTRA SRA DE LA SALUD,667996590,18005414.edu@juntadeandalucia.es,18,GRANADA,ANDALUCÍA
CEI. MARIA INMACULADA,608226647,einfinmaculada@gmail.com,18,GRANADA,ANDALUCÍA
CEIP NTRA SRA DE LAS ANGUSTIAS,629646712,santicolehuetor@ceipangustias.com,18,GRANADA,ANDALUCÍA
ESCUELA INFANTIL ROSA LÓPEZ CERVANTES,630816577,eirosalopezcervantes@gmail.com,18,GRANADA,ANDALUCÍA
CEIP JOSÉ SARAMAGO,627509446,iruirec822@g.educaand.es,4,ALMERÍA,ANDALUCÍA
CEIP LA BARCA,629975131,genorelatoras@gmail.com,0,CADIZ,ANDALUCÍA
CEI DON CHUPETE,952843590,ceidonchupete@gmail.com,29,MÁLAGA,ANDALUCÍA
CEI JUAN DE MAIRENA,617370207,prudenciacaraballo@gmail.com,41,SEVILLA,ANDALUCÍA
EL CENTRO INGLÉS,956 850 560,pdirector@elcentroingles.es,11,CÁDIZ,ANDALUCÍA
SANTA MARÍA DE GRACIA,959253643,orientacion@agustinashuelva.com,21,HUELVA,ANDALUCÍA
CEIP DOMINGO LOZANO,679497927,colegio@ceipdomingolozano.com,29,MÁLAGA,ANDALUCÍA
CEIP SAN ISIDRO,951289926,29007354.edu@juntadeandalucia.es,29,MÁLAGA,ANDALUCÍA
CEIP REMEDIOS ROJO,671567735,29007111.edu@juntadeandalucia.es,29,MÁLAGA,ANDALUCÍA
CEIP HERMANOS GIL MUÑIZ,622087890,ahorques@gmail.com,29,MÁLAGA,ANDALUCÍA
CEIP MAICANDIL,951270745 / 618643889,29006271.edu@juntadeandalucia.es,29,MÁLAGA,ANDALUCÍA
CEIP MARIANA PINEDA,697951788,29005801.DIRECCION@G.EDUCAAND.ES,29,MÁLAGA,ANDALUCÍA
CEIP PAULO FREIRE,618118352,29009697.edu@juntadeandalucia.es,29,MÁLAGA,ANDALUCÍA
CEPR EL CHAPARRAL,689654083,LOLICAJI@TELEFONICA.NET,29,MÁLAGA,ANDALUCÍA
PATATINA BABY SCHOOL,629555016,patatinababyschool@yahoo.com,29,MÁLAGA,ANDALUCÍA
CDP PARTY,952773290,info@cpeiparty.com,29,MÁLAGA,ANDALUCÍA
CEIP MIGUEL DE CERVANTES,679791660,lguerr79@hotmail.com,29,MÁLAGA,ANDALUCÍA
COLEGIO VIRGEN DEL MAR,657086891,direccion.virgendelmar@fundacionvictoria.edu.es,29,MÁLAGA,ANDALUCÍA
E.R LOS GAMEZ,658424735,angelantonio.fuentes@fundacionvictoria.edu.es,29,MÁLAGA,ANDALUCÍA
CEI MIMOS,620602700,cei_mimos@hotmail.com,14,CÓRDOBA,ANDALUCÍA
ESCUELA INFANTIL AMAPOLA,672045566,guarderia@carmona.org,41,SEVILLA,ANDALUCÍA
CEIP TIRSO DE MOLINA,662221859,maestroborja@ceiptirsomolina.com,18,GRANADA,ANDALUCÍA
CEIP VIRGEN DE LA CABEZA,600296053,marsan24@hotmail.com,0,RONDA,ANDALUCÍA
COLEGIO LOS GÁMEZ FUNDACION VICTORIA,658424735,soledad.diaz@fundacionvictoria.edu.es,29,MÁLAGA,ANDALUCÍA
CEIP EL ALBERO,600361924,29601732.edu@juntadeandalucia.es,29,MÁLAGA,ANDALUCÍA
CEIP SAN IGNACIO ( FUENTE PIEDRA),615852455,28003087.edu@juntadeandalucia.es,29,MÁLAGA,ANDALUCÍA
ESCUELA INFANTIL CHUPETINES LA ARRUZAFA,689142361,chupetineseilaarruzafa@gmail.com,14,CÓRDOBA,ANDALUCÍA
CEIP DOMINGO LOZANO,679497927,colegio@ceipdomingolozano.com,29,MÁLAGA,ANDALUCÍA
