Nombre,Email,Telefono,Codigo_Postal,Codigo_Escuela
Denominación específica: Mar Azul,Dirección de correo electrónico: noeliasanttos@hotmail.com  ,Teléfono: 606558049,Código postal: 04770,04009447
Denominación específica: Albox,Dirección de correo electrónico: casealbox@elsaliente.com  ,Teléfono: 950120089,Código postal: 04800,04009459
Denominación específica: María del Mar Contreras Domínguez,Dirección de correo electrónico: sixcar90@hotmail.com  ,Teléfono: 661205194,Código postal: 04400,04009423
Denominación específica: Espejo del Mar,Dirección de correo electrónico: 04009101.edu@juntadeandalucia.es  ,Teléfono: 950153334,Código postal: 04009,04009101
Denominación específica: La Esmeralda,Dirección de correo electrónico: angeles.montoya@juntadeandalucia.es  ,Teléfono: 950155026,Código postal: 04008,04009083
Denominación específica: Los Llanos de la Cañada,Dirección de correo electrónico: 04009071.edu@juntadeandalucia.es  ,Teléfono: 647554022,Código postal: 04120,04009071
Denominación específica: Mar de Alborán,Dirección de correo electrónico: 04001230.edu@juntadeandalucia.es  ,Teléfono: 950156542,Código postal: 04006,04001230
Denominación específica: Santo Ángel de la Guarda,Dirección de correo electrónico: 04009034.edu@juntadeandalucia.es  ,Teléfono: 950234675,Código postal: 04002,04009034
Denominación específica: La Pernera,Dirección de correo electrónico: guarderiaantas@faam.es  ,Teléfono: 637498047,Código postal: 04628,04009630
Denominación específica: Balanegra,Dirección de correo electrónico: rosa.megias@macrosad.com  ,Teléfono: 655706432,Código postal: 04713,04008741
Denominación específica: El Mirador,Dirección de correo electrónico: elmirador@elsaliente.com  ,Teléfono: 950310001,Código postal: 04410,04008728
Denominación específica: Barajas,Dirección de correo electrónico: 04004541.edu@juntadeandalucia.es  ,Teléfono: 950579537,Código postal: 04760,04004541
Denominación específica: Cantoria,Dirección de correo electrónico: josefinacanto@yahoo.es  ,Teléfono: 950436000,Código postal: 04850,04008753
Denominación específica: Lúcar,Dirección de correo electrónico:   ,Teléfono: 950424654,Código postal: 04887,04009538
Denominación específica: Luis Siret,Dirección de correo electrónico: educacion@cuevasdelalmanzora.es  ,Teléfono: 950458584,Código postal: 04610,04009496
Denominación específica: El Alquián,Dirección de correo electrónico: eielalquian@aytoalmeria.es  ,Teléfono: 950297394,Código postal: 04130,04009484
Denominación específica: Gabriela Mistral,Dirección de correo electrónico: 04005351.edu@juntadeandalucia.es  ,Teléfono: 950579716,Código postal: 04700,04005351
Denominación específica: Las Margaritas,Dirección de correo electrónico: 04008996.edu@juntadeandalucia.es  ,Teléfono: 950579204,Código postal: 04700,04008996
Denominación específica: Llano de Don Antonio,Dirección de correo electrónico: 04601890.edu@juntadeandalucia.es  ,Teléfono: 950451976,Código postal: 04149,04601890
Denominación específica: Fines,Dirección de correo electrónico: guarderiafines@gmail.com  ,Teléfono: 950444127,Código postal: 04869,04008789
Denominación específica: Colorín Colorete,Dirección de correo electrónico: gemaph@hotmail.com  ,Teléfono: 950352393,Código postal: 04500,04009514
Denominación específica: La Sirenita,Dirección de correo electrónico: 04009174.edu@juntadeandalucia.es  ,Teléfono: 950451992,Código postal: 04630,04009174
Denominación específica: Chicos,Dirección de correo electrónico: mmaribell@msn.com  ,Teléfono: 675598721,Código postal: 04661,04009629
Denominación específica: Virgen de la Vega,Dirección de correo electrónico:   ,Teléfono: 950400404,Código postal: 04770,04009307
Denominación específica: Las Norias,Dirección de correo electrónico: 04009009.edu@juntadeandalucia.es  ,Teléfono: 950579206,Código postal: 04716,04009009
Denominación específica: Laujar de Andarax,Dirección de correo electrónico: alpueduca@yahoo.es  ,Teléfono: 950513011,Código postal: 04470,04010231
Denominación específica: Los Gallardos,Dirección de correo electrónico: eilosgallardos@elsaliente.com  ,Teléfono: 950037832,Código postal: 04280,04011193
Denominación específica: Virgen del Carmen,Dirección de correo electrónico: escuela.infantil.ocara@gmail.com  ,Teléfono: 950445742,Código postal: 04867,04009204
Denominación específica: Matagorda,Dirección de correo electrónico: adominguezpalmero@gmail.com  ,Teléfono: 950407292,Código postal: 04715,04008807
Denominación específica: Villa de Níjar,Dirección de correo electrónico: eivillanijar@gmail.com  ,Teléfono: 950360003,Código postal: 04100,04010279
Denominación específica: Maestra María González Reche,Dirección de correo electrónico: 04010280.edu@juntadeandalucia.es  ,Teléfono: 662652218,Código postal: 04810,04010280
Denominación específica: Los Caracoles,Dirección de correo electrónico: educacion@elejido.org  ,Teléfono: 950481209,Código postal: 04715,04008819
Denominación específica: Los Jazmines,Dirección de correo electrónico: 04009137.edu@juntadeandalucia.es  ,Teléfono: 950153332,Código postal: 04738,04009137
Denominación específica: Los Duendecillos,Dirección de correo electrónico: mlosilla@eikoala.es  ,Teléfono: 950464001,Código postal: 04640,04008844
Denominación específica: Gloria Fuertes,Dirección de correo electrónico: escuelainfantilgloriafuertes5@gmail.com  ,Teléfono: 638827460,Código postal: 04260,04009575
Denominación específica: Las Lomas,Dirección de correo electrónico: info@escuelainfantillaslomas.com  ,Teléfono: 950327294,Código postal: 04740,04010371
Denominación específica: San Agustín,Dirección de correo electrónico: gsanagustin12@gmail.com  ,Teléfono: 950536122,Código postal: 04716,04008790
Denominación específica: San Isidro,Dirección de correo electrónico: 04602304.edu@juntadeandalucia.es  ,Teléfono: 950156525,Código postal: 04117,04602304
Denominación específica: Serón,Dirección de correo electrónico: esinseron@gmail.com  ,Teléfono: 673825222,Código postal: 04890,04009587
Denominación específica: Tabernas,Dirección de correo electrónico: carmenusero13@gmail.com  ,Teléfono: 637071072,Código postal: 04200,04008856
Denominación específica: Turre,Dirección de correo electrónico: caseturre@elsaliente.com  ,Teléfono: 950618924,Código postal: 04639,04010267
Denominación específica: El Castellón,Dirección de correo electrónico: 04602298.edu@juntadeandalucia.es  ,Teléfono: 950419921,Código postal: 04820,04602298
Denominación específica: Burbujas,Dirección de correo electrónico: alcaldia@lamojonera.es  ,Teléfono: 950603348,Código postal: 04746,04008832
Denominación específica: Álvarez de Sotomayor,Dirección de correo electrónico: viator@kidsco.es  ,Teléfono: 950180269,Código postal: 04240,04009770
Denominación específica: Las Azucenas,Dirección de correo electrónico: guarderialasazucenas@hotmail.com  ,Teléfono: 950040333,Código postal: 04738,04008868
Denominación específica: La Miga,Dirección de correo electrónico: 11011706.edu@juntadeandalucia.es  ,Teléfono: 956420553,Código postal: 11180,11011706
Denominación específica: La Pequeña Pandilla,Dirección de correo electrónico: 11011718.edu@juntadeandalucia.es  ,Teléfono: 956710001,Código postal: 11639,11011718
Denominación específica: El Faro,Dirección de correo electrónico:   ,Teléfono:,Código postal: 11202,11012486
Denominación específica: Gloria Fuertes,Dirección de correo electrónico: 11006826.edu@juntadeandalucia.es  ,Teléfono: 956670848,Código postal: 11207,11006826
Denominación específica: Los Navegantes,Dirección de correo electrónico: 11011184.edu@juntadeandalucia.es  ,Teléfono: 956673806,Código postal: 11205,11011184
Denominación específica: Virgen Milagrosa,Dirección de correo electrónico: mariaa.sanchez.galvez@juntadeandalucia.es  ,Teléfono: 677904347,Código postal: 11206,11011196
Denominación específica: Príncipe de Asturias,Dirección de correo electrónico: 11006701.edu@juntadeandalucia.es  ,Teléfono: 956128664,Código postal: 11680,11006701
Denominación específica: Virgen de la Nieves,Dirección de correo electrónico: 11011214.edu@juntadeandalucia.es  ,Teléfono: 956709766,Código postal: 11630,11011214
Denominación específica: Benalup-Casas Viejas,Dirección de correo electrónico: 11011721.edu@juntadeandalucia.es  ,Teléfono: 956417751,Código postal: 11190,11011721
Denominación específica: Doctora Josefina Fornell,Dirección de correo electrónico: eli@grupo-senda.com  ,Teléfono: 956902572,Código postal: 11007,11012413
Denominación específica: Los Dálmatas,Dirección de correo electrónico: 11011457.edu@juntadeandalucia.es  ,Teléfono: 956202057,Código postal: 11012,11011457
Denominación específica: Virgen de la Palma,Dirección de correo electrónico: mercedes.alfaro@juntadeandalucia.es  ,Teléfono: 956202054,Código postal: 11002,11011445
Denominación específica: Los Peques,Dirección de correo electrónico: lospequescastellar@gmail.com  ,Teléfono: 615345173,Código postal: 11350,11011731
Denominación específica: Aldea del Coto,Dirección de correo electrónico: eimcotocampa@gmail.com  ,Teléfono: 628827777,Código postal: 11130,11011275
Denominación específica: Huerta del Rosario,Dirección de correo electrónico: eichiclana@asisttel.com  ,Teléfono: 956401248,Código postal: 11130,11010431
Denominación específica: Rocío Jurado,Dirección de correo electrónico: grociojurado@asisttel.com  ,Teléfono: 697957008,Código postal: 11550,11011548
Denominación específica: Menéndez Pidal,Dirección de correo electrónico: 11002018.edu@juntadeandalucia.es  ,Teléfono: 956459634,Código postal: 11140,11002018
Denominación específica: El Bosque,Dirección de correo electrónico: eielbosque@mmsierradecadiz.org  ,Teléfono: 956716269,Código postal: 11670,11011861
Denominación específica: El Vaporcito,Dirección de correo electrónico: 11004192.edu@juntadeandalucia.es  ,Teléfono: 956243764,Código postal: 11500,11004192
Denominación específica: Las Dunas,Dirección de correo electrónico: 11603622.edu@juntadeandalucia.es  ,Teléfono: 956243635,Código postal: 11500,11603622
Denominación específica: Rafael Alberti,Dirección de correo electrónico: eiralberti@mmsierradecadiz.org  ,Teléfono: 652017312,Código postal: 11648,11011810
Denominación específica: Puente de Hierro,Dirección de correo electrónico: eipuente@asisttel.com  ,Teléfono: 687531965,Código postal: 11311,11012632
Denominación específica: Primavera,Dirección de correo electrónico: mmercedes.salas@juntadeandalucia.es  ,Teléfono: 856812827,Código postal: 11404,11011411
Denominación específica: San Carlos,Dirección de correo electrónico: 11011330.edu@juntadeandalucia.es  ,Teléfono: 856812822,Código postal: 11404,11011330
Denominación específica: El Paje,Dirección de correo electrónico: 11012188.edu@juntadeandalucia.es  ,Teléfono: 856587186,Código postal: 11570,11012188
Denominación específica: La Atunara,Dirección de correo electrónico: 11011755.edu@juntadeandalucia.es  ,Teléfono: 600157238,Código postal: 11300,11011755
Denominación específica: Virgen de la Sierra,Dirección de correo electrónico: rosam.zamudio@juntadeandalucia.es  ,Teléfono: 956673819,Código postal: 11300,11011317
Denominación específica: Las Lomas,Dirección de correo electrónico: 11006139.edu@juntadeandalucia.es  ,Teléfono: 671599203,Código postal: 11150,11006139
Denominación específica: Virgen de la Paz,Dirección de correo electrónico: 11011299.edu@juntadeandalucia.es  ,Teléfono: 956670316,Código postal: 11370,11011299
Denominación específica: Santa María,Dirección de correo electrónico: 11011287.edu@juntadeandalucia.es  ,Teléfono: 856811700,Código postal: 11590,11011287
Denominación específica: Gloria Fuertes,Dirección de correo electrónico: 11000083.edu@juntadeandalucia.es  ,Teléfono: 956128655,Código postal: 11690,11000083
Denominación específica: Los Pasitos,Dirección de correo electrónico: 11012115.edu@juntadeandalucia.es  ,Teléfono: 686854945,Código postal: 11178,11012115
Denominación específica: Pinsapo,Dirección de correo electrónico: eielpinsapo@mmsierradecadiz.org  ,Teléfono: 617777802,Código postal: 11660,11011470
Denominación específica:,Dirección de correo electrónico:   ,Teléfono:,Código postal: 11510,11008173
Denominación específica: El Cigarrón,Dirección de correo electrónico: ibenitez@clece.es  ,Teléfono: 682778155,Código postal: 11510,11011500
Denominación específica: La Algaida,Dirección de correo electrónico: laalgaida@uca.es  ,Teléfono: 956834115,Código postal: 11519,11011676
Denominación específica: Guadalete,Dirección de correo electrónico: 11011241.edu@juntadeandalucia.es  ,Teléfono: 956127238,Código postal: 11659,11011241
Denominación específica: Viento del Sur,Dirección de correo electrónico: 11011688.edu@juntadeandalucia.es  ,Teléfono: 956478151,Código postal: 11519,11011688
Denominación específica: Grumete,Dirección de correo electrónico: grumeterota@kidsco.es  ,Teléfono: 956480938,Código postal: 11530,11011895
Denominación específica: Los Príncipes,Dirección de correo electrónico: nuevaseducadoras@hotmail.com  ,Teléfono: 956841923,Código postal: 11520,11011767
Denominación específica: Grumete-San Fernando,Dirección de correo electrónico: grumetesanfernando@kidsco.es  ,Teléfono: 956801111,Código postal: 11100,11012048
Denominación específica: La Cigüeña,Dirección de correo electrónico: 11011691.edu@juntadeandalucia.es  ,Teléfono: 956109318,Código postal: 11580,11011691
Denominación específica: Reina Juana,Dirección de correo electrónico: 11011354.edu@juntadeandalucia.es  ,Teléfono: 956670314,Código postal: 11360,11011354
Denominación específica: Guadalquivir,Dirección de correo electrónico: MARIAD.ODERO@juntadeandalucia.es  ,Teléfono: 956386213,Código postal: 11540,11011378
Denominación específica: Virgen de la Luz,Dirección de correo electrónico: 11011381.edu@juntadeandalucia.es  ,Teléfono: 956670218,Código postal: 11380,11011381
Denominación específica: Virgen de Palomares,Dirección de correo electrónico: 11011536.edu@juntadeandalucia.es  ,Teléfono: 856811702,Código postal: 11560,11011536
Denominación específica: Bambi,Dirección de correo electrónico: 11011469.edu@juntadeandalucia.es  ,Teléfono: 956455185,Código postal: 11150,11011469
Denominación específica: Matrera,Dirección de correo electrónico: eimatrera@mmsierradecadiz.org  ,Teléfono: 856001676,Código postal: 11650,11012735
Denominación específica: Carmen Cañero Blancas,Dirección de correo electrónico: 14011092.edu@juntadeandalucia.es  ,Teléfono: 957166152,Código postal: 14430,14011092
Denominación específica: Colorín Colorado,Dirección de correo electrónico: 14011018.edu@juntadeandalucia.es  ,Teléfono: 957156250,Código postal: 14480,14011018
Denominación específica: Añora,Dirección de correo electrónico: 14008275.edu@juntadeandalucia.es  ,Teléfono: 628001784,Código postal: 14450,14008275
Denominación específica: Don Pimpón,Dirección de correo electrónico: guarderiadebelalcazar@gmail.com  ,Teléfono: 675663514,Código postal: 14280,14012953
Denominación específica: Nuestra Señora de Gracia,Dirección de correo electrónico: ayuntamiento@benameji.es  ,Teléfono: 957530031,Código postal: 14910,14011067
Denominación específica: Huertas Bajas,Dirección de correo electrónico:   ,Teléfono: 957524710,Código postal: 14940,14008299
Denominación específica: San Rodrigo,Dirección de correo electrónico: 14010324.edu@juntadeandalucia.es  ,Teléfono: 957596975,Código postal: 14940,14010324
