Nombre,Email,Telefono,Codigo_Postal,Codeigo_Escuela
Denominación específica: Había una vez,Dirección de correo electrónico: habiaunavez45@gmail.com  ,Teléfono: 659915943,Código postal: 04770,04011132
Denominación específica: Mi Primer Cole,Dirección de correo electrónico: lolimp81@hotmail.com  ,Teléfono: 677775242,Código postal: 04770,04011247
Denominación específica: Casa de Colores,Dirección de correo electrónico: info@casadecolores.es  ,Teléfono: 649860898,Código postal: 04720,04000262
Denominación específica: El Rancho,Dirección de correo electrónico: isarancho@hotmail.com  ,Teléfono: 950348913,Código postal: 04720,04008923
Denominación específica: Luna Lunera,Dirección de correo electrónico: lunalunera.escuelainfantil@gmail.com  ,Teléfono: 678801951,Código postal: 04720,04009915
Denominación específica: Pequeño Tesoro,Dirección de correo electrónico: gemamariaalonsosanchez@gmail.com  ,Teléfono: 687751255,Código postal: 04720,04011314
Denominación específica: Virgen del Saliente,Dirección de correo electrónico: ceivirgendelsaliente@elsaliente.com  ,Teléfono: 950431032,Código postal: 04800,04008662
Denominación específica: Almadrabillas,Dirección de correo electrónico: direccion@escuelainfantilalmadrabillas.es  ,Teléfono: 648005249,Código postal: 04004,04010656
Denominación específica: Aros,Dirección de correo electrónico: info@escuelainfantilaros.es  ,Teléfono: 950253135,Código postal: 04005,04009253
Denominación específica: Aventura,Dirección de correo electrónico: aventura@aventuraeducacion.es  ,Teléfono: 646128192,Código postal: 04007,04010693
Denominación específica: Baby School,Dirección de correo electrónico: info@baby-school.es  ,Teléfono: 650402152,Código postal: 04006,04009964
Denominación específica: Caracol,Dirección de correo electrónico: rascapinos@hotmail.com  ,Teléfono: 659224387,Código postal: 04006,04009681
Denominación específica: Chiquimar,Dirección de correo electrónico: pequemar@fantasy.es  ,Teléfono: 696973944,Código postal: 04006,04010504
Denominación específica: Delicias,Dirección de correo electrónico: scpescuelainfantildelicias@hotmail.com  ,Teléfono: 950852519,Código postal: 04009,04005302
Denominación específica: Down Almería,Dirección de correo electrónico: edu@asalsido.org  ,Teléfono: 950268777,Código postal: 04007,04008455
Denominación específica: El Arca de Noé,Dirección de correo electrónico: NOEMILOPEZREYES@HOTMAIL.COM  ,Teléfono: 653995452,Código postal: 04004,04009757
Denominación específica: Emma,Dirección de correo electrónico: deo.gomez@emmaalmeria.es  ,Teléfono: 950250781,Código postal: 04001,04011326
Denominación específica: Fantasy,Dirección de correo electrónico: escuelainfantil@fantasy.es  ,Teléfono: 696973944,Código postal: 04007,04006343
Denominación específica: Globitos,Dirección de correo electrónico: anarodriguez1990@msn.com  ,Teléfono: 617142253,Código postal: 04004,04008650
Denominación específica: Jardines de la Pipa,Dirección de correo electrónico: gestion@ceijardinesdelapipa.com  ,Teléfono: 628427912,Código postal: 04009,04010671
Denominación específica: La Bola Azul,Dirección de correo electrónico: bolaazul2010@hotmail.es  ,Teléfono: 610446924,Código postal: 04009,04010255
Denominación específica: La Casita de la Vega,Dirección de correo electrónico: bemaldo@hotmail.com  ,Teléfono: 699211152,Código postal: 04007,04010437
Denominación específica: La Oca,Dirección de correo electrónico: guarderia.laoca.sca@gmail.com  ,Teléfono: 950251298,Código postal: 04001,04008674
Denominación específica: La Térmica,Dirección de correo electrónico: escuelainfantillatermica@gmail.com  ,Teléfono: 950031849,Código postal: 04007,04010531
Denominación específica: Las Góndolas Centro,Dirección de correo electrónico: victornovillo@hotmail.com  ,Teléfono: 950081842,Código postal: 04004,04008947
Denominación específica: Las Góndolas III,Dirección de correo electrónico: juaniloga77@hotmail.com  ,Teléfono: 950081842,Código postal: 04006,04010772
Denominación específica: Little Monkeys,Dirección de correo electrónico: littlemonkeysalmeria@gmail.com  ,Teléfono: 647556533,Código postal: 04001,04009708
Denominación específica: Los Franciscanos,Dirección de correo electrónico: malimiriam@yahoo.es  ,Teléfono: 661622433,Código postal: 04003,04009927
Denominación específica: Los Lápices 2,Dirección de correo electrónico: lapices@escuelainfantillapices.es  ,Teléfono: 950140654,Código postal: 04009,04005521
Denominación específica: Mickey-Park,Dirección de correo electrónico: mickey-park@orange.es  ,Teléfono: 658560818,Código postal: 04007,04008649
Denominación específica: Montessori La Goleta,Dirección de correo electrónico: j.i.montessori@hotmail.com  ,Teléfono: 654387031,Código postal: 04007,04009952
Denominación específica: Pasitos,Dirección de correo electrónico: pasitos@ceiduendesyceipasitos.com  ,Teléfono: 950206288,Código postal: 04007,04009198
Denominación específica: Pequeña Lucía,Dirección de correo electrónico: 04010747.edu@juntadeandalucia.es  ,Teléfono: 650242844,Código postal: 04006,04010747
Denominación específica: Pezqueñines,Dirección de correo electrónico: ceipezquenines@gmail.com  ,Teléfono: 950092774,Código postal: 04009,04008522
