Nombre,Email,Telefono,Codigo_Postal,Tipo Centro,Codigo_Escuela
Denominación específica: Antonio Relaño,Dirección de correo electrónico: 04000021.edu@juntadeandalucia.es  ,Teléfono: 950359902,Código postal: 04520,Naturaleza: Centro público,04000021
Denominación específica: Mare Nostrum,Dirección de correo electrónico: 04000092.edu@juntadeandalucia.es  ,Teléfono: 950579579,Código postal: 04770,Naturaleza: Centro público,04000092
Denominación específica: San Fernando,Dirección de correo electrónico: 04000080.edu@juntadeandalucia.es  ,Teléfono: 950579877,Código postal: 04770,Naturaleza: Centro público,04000080
Denominación específica: Arco Iris,Dirección de correo electrónico: 04005594.edu@juntadeandalucia.es  ,Teléfono: 950156506,Código postal: 04720,Naturaleza: Centro público,04005594
Denominación específica: Francisco Sáiz Sanz,Dirección de correo electrónico: 04602158.edu@juntadeandalucia.es  ,Teléfono: 950156957,Código postal: 04720,Naturaleza: Centro público,04602158
Denominación específica: Trinidad Martínez,Dirección de correo electrónico:   ,Teléfono:,Código postal: 04720,Naturaleza: Centro público,04003706
Denominación específica: Filabres,Dirección de correo electrónico: 04601981.edu@juntadeandalucia.es  ,Teléfono: 950639579,Código postal: 04857,Naturaleza: Centro público,04601981
Denominación específica: Velázquez,Dirección de correo electrónico: 04000213.edu@juntadeandalucia.es  ,Teléfono: 950639913,Código postal: 04800,Naturaleza: Centro público,04000213
Denominación específica: Medio Almanzora II,Dirección de correo electrónico: 04601993.edu@juntadeandalucia.es  ,Teléfono: 950639912,Código postal: 04800,Naturaleza: Centro público,04601993
Denominación específica: Juan XXIII,Dirección de correo electrónico: 04000365.edu@juntadeandalucia.es  ,Teléfono: 950156857,Código postal: 04567,Naturaleza: Centro público,04000365
Denominación específica: Alicún-Huécija,Dirección de correo electrónico: 04602109.edu@juntadeandalucia.es  ,Teléfono: 950156898,Código postal: 04409,Naturaleza: Centro público,04602109
Denominación específica: Ciudad de Almería,Dirección de correo electrónico:   ,Teléfono:,Código postal: 04006,Naturaleza: Centro privado,04005739
Denominación específica: Divina Infantita,Dirección de correo electrónico:   ,Teléfono:,Código postal: 04006,Naturaleza: Centro privado,04000456
Denominación específica: Escuelas Profesionales de la Sagrada Familia,Dirección de correo electrónico:   ,Teléfono:,Código postal: 04005,Naturaleza: Centro privado,04000936
Denominación específica: La Milagrosa,Dirección de correo electrónico: colegiolamilagrosa@cevlamilagrosaalmeriaesur.es  ,Teléfono: 950231108,Código postal: 04004,Naturaleza: Centro privado,04000432
