Nombre,Email,Telefono,Codigo_Postal,ID,Provincia,Estado,Categoria
Había Una Vez,habiaunavez45@gmail.com  ,659915943,04770,4011132,Almería,Andalucía,Centro Privado
Mi Primer Cole,lolimp81@hotmail.com  ,677775242,04770,4011247,Almería,Andalucía,Centro Privado
Casa De Colores,info@casadecolores.es  ,649860898,04720,4000262,Almería,Andalucía,Centro Privado
El Rancho,isarancho@hotmail.com  ,950348913,04720,4008923,Almería,Andalucía,Centro Privado
Luna Lunera,lunalunera.escuelainfantil@gmail.com  ,678801951,04720,4009915,Almería,Andalucía,Centro Privado
Pequeño Tesoro,gemamariaalonsosanchez@gmail.com  ,687751255,04720,4011314,Almería,Andalucía,Centro Privado
Virgen Del Saliente,ceivirgendelsaliente@elsaliente.com  ,950431032,04800,4008662,Almería,Andalucía,Centro Privado
Almadrabillas,direccion@escuelainfantilalmadrabillas.es  ,648005249,04004,4010656,Almería,Andalucía,Centro Privado
Aros,info@escuelainfantilaros.es  ,950253135,04005,4009253,Almería,Andalucía,Centro Privado
Aventura,aventura@aventuraeducacion.es  ,646128192,04007,4010693,Almería,Andalucía,Centro Privado
Baby School,info@baby-school.es  ,650402152,04006,4009964,Almería,Andalucía,Centro Privado
Caracol,rascapinos@hotmail.com  ,659224387,04006,4009681,Almería,Andalucía,Centro Privado
Chiquimar,pequemar@fantasy.es  ,696973944,04006,4010504,Almería,Andalucía,Centro Privado
Delicias,scpescuelainfantildelicias@hotmail.com  ,950852519,04009,4005302,Almería,Andalucía,Centro Privado
Down Almería,edu@asalsido.org  ,950268777,04007,4008455,Almería,Andalucía,Centro Privado
El Arca De Noé,NOEMILOPEZREYES@HOTMAIL.COM  ,653995452,04004,4009757,Almería,Andalucía,Centro Privado
Emma,deo.gomez@emmaalmeria.es  ,950250781,04001,4011326,Almería,Andalucía,Centro Privado
Fantasy,escuelainfantil@fantasy.es  ,696973944,04007,4006343,Almería,Andalucía,Centro Privado
Globitos,anarodriguez1990@msn.com  ,617142253,04004,4008650,Almería,Andalucía,Centro Privado
Jardines De La Pipa,gestion@ceijardinesdelapipa.com  ,628427912,04009,4010671,Almería,Andalucía,Centro Privado
La Bola Azul,bolaazul2010@hotmail.es  ,610446924,04009,4010255,Almería,Andalucía,Centro Privado
La Casita De La Vega,bemaldo@hotmail.com  ,699211152,04007,4010437,Almería,Andalucía,Centro Privado
La Oca,guarderia.laoca.sca@gmail.com  ,950251298,04001,4008674,Almería,Andalucía,Centro Privado
La Térmica,escuelainfantillatermica@gmail.com  ,950031849,04007,4010531,Almería,Andalucía,Centro Privado
Las Góndolas Centro,victornovillo@hotmail.com  ,950081842,04004,4008947,Almería,Andalucía,Centro Privado
Las Góndolas Iii,juaniloga77@hotmail.com  ,950081842,04006,4010772,Almería,Andalucía,Centro Privado
Little Monkeys,littlemonkeysalmeria@gmail.com  ,647556533,04001,4009708,Almería,Andalucía,Centro Privado
Los Franciscanos,malimiriam@yahoo.es  ,661622433,04003,4009927,Almería,Andalucía,Centro Privado
Los Lápices 2,lapices@escuelainfantillapices.es  ,950140654,04009,4005521,Almería,Andalucía,Centro Privado
Mickey-Park,mickey-park@orange.es  ,658560818,04007,4008649,Almería,Andalucía,Centro Privado
Montessori La Goleta,j.i.montessori@hotmail.com  ,654387031,04007,4009952,Almería,Andalucía,Centro Privado
Pasitos,pasitos@ceiduendesyceipasitos.com  ,950206288,04007,4009198,Almería,Andalucía,Centro Privado
Pequeña Lucía,04010747.edu@juntadeandalucia.es  ,650242844,04006,4010747,Almería,Andalucía,Centro Privado
Pezqueñines,ceipezquenines@gmail.com  ,950092774,04009,4008522,Almería,Andalucía,Centro Privado
Rayuela,lolapfernandez@hotmail.com  ,696397064,04006,4009769,Almería,Andalucía,Centro Privado
San Pablo,sanpablo.guarderia@gmail.com  ,950084105,04002,4010292,Almería,Andalucía,Centro Privado
Trampolín,guarderiatrampolin@hotmail.com  ,950262369,04002,4008081,Almería,Andalucía,Centro Privado
Villa Jardín Ii,ceivillajardin@gmail.com  ,655405509,04009,4010322,Almería,Andalucía,Centro Privado
Villablanca,info@eivillablanca.com  ,950144888,04009,4008959,Almería,Andalucía,Centro Privado
Virgen Del Carmen,soylakesoy@hotmail.com  ,950261861,04003,4005740,Almería,Andalucía,Centro Privado
Háblame Bonito,vanessa.da@hotmail.es  ,628499944,04628,4011375,Almería,Andalucía,Centro Privado
Pekes,pekes.benahadux@gmail.com  ,950312329,04410,4009903,Almería,Andalucía,Centro Privado
Fabulino School,ceifabulinoschool@gmail.com  ,675026719,04760,4011429,Almería,Andalucía,Centro Privado
Mofly,ceimofly@gmail.com  ,675013376,04110,4006574,Almería,Andalucía,Centro Privado
El Oso Bussi,  ,,04140,4011430,Almería,Andalucía,Centro Privado
Ne-Nes,romeduca@andaluciajunta.es  ,950297716,04130,4009861,Almería,Andalucía,Centro Privado
Pequeños Genios,pequegenios77@gmail.com  ,950600289,04130,4008561,Almería,Andalucía,Centro Privado
Caritas Felices Ii,  ,626283093,04700,4011612,Almería,Andalucía,Centro Privado
Colorín Colorado 2,monimuriana@hotmail.com  ,630177282,04700,4010917,Almería,Andalucía,Centro Privado
Ejido-Baby,ejidobaby@hotmail.com  ,950489304,04700,4008601,Almería,Andalucía,Centro Privado
El Patio,escuelaelpatio@gmail.com  ,665446595,04700,4011363,Almería,Andalucía,Centro Privado
Gnomos,  ,,04700,4000444,Almería,Andalucía,Centro Privado
Gnomos Iii,gnomosei@gmail.com  ,950489496,04700,4010449,Almería,Andalucía,Centro Privado
Mundo De Colores,escuelainfantilmundodecolores@gmail.com  ,643375385,04700,4011466,Almería,Andalucía,Centro Privado
Mundopark,mundoparkschool@hotmail.es  ,654683936,04700,4010541,Almería,Andalucía,Centro Privado
Paidós,"travesuras_olga@hotmail,com  ",646200059,04700,4010383,Almería,Andalucía,Centro Privado
Travesuras,travesuras_olga@hotmail.com  ,646200059,04700,4008558,Almería,Andalucía,Centro Privado
Hogar Montessori,hogarmontessori.info@gmail.com  ,696691373,04721,4011387,Almería,Andalucía,Centro Privado
Burbujas De Colores,dory@burbujasdecolores.com  ,627926859,04711,4009162,Almería,Andalucía,Centro Privado
Bambi,INFO@KINDERGARRUCHA.ES  ,950460472,04630,4010498,Almería,Andalucía,Centro Privado
Dumbo,casedumbo@elsaliente.com  ,950301603,04230,4008777,Almería,Andalucía,Centro Privado
La Guarde,laguardehuercal@gmail.com  ,610536459,04230,4009800,Almería,Andalucía,Centro Privado
Los Patitos,marevaescuelainfantil@gmail.com  ,950060252,04230,4009241,Almería,Andalucía,Centro Privado
Villa Inés,anavillaines@hotmail.com  ,950145280,04230,4001862,Almería,Andalucía,Centro Privado
Campanilla,cei_campanilla@yahoo.es  ,950616111,04600,4008571,Almería,Andalucía,Centro Privado
El Patio,  ,,04600,4006461,Almería,Andalucía,Centro Privado
Gruñones,grunones@grunones.es  ,661294332,04120,4008625,Almería,Andalucía,Centro Privado
Todo Se Andará,eitodoseandara@gmail.com  ,678686055,04120,4010711,Almería,Andalucía,Centro Privado
Nuestra Señora De La Vega,ceinsdelavega@gmail.com  ,619822124,04770,4011481,Almería,Andalucía,Centro Privado
La Pequeña Esponja,alebeavn@gmail.com  ,678236659,04745,4010590,Almería,Andalucía,Centro Privado
